name,price,costPrice,category,stock,barcode,image
Juice 47,125,113,Dairy,120,300047,https://source.unsplash.com/300x300/?Juice
Banana 48,30,24,Fruits,151,300048,https://source.unsplash.com/300x300/?Banana
Soap 49,56,42,Beverages,3,300049,https://source.unsplash.com/300x300/?Soap
Chocolate 50,96,94,Beverages,2,300050,https://source.unsplash.com/300x300/?Chocolate
Chips 51,31,14,Bakery,120,300051,https://source.unsplash.com/300x300/?Chips
Soap 52,198,190,Snacks,51,300052,https://source.unsplash.com/300x300/?Soap
Eggs 53,139,127,Snacks,92,300053,https://source.unsplash.com/300x300/?Eggs
Butter 54,142,141,Fruits,1,300054,https://source.unsplash.com/300x300/?Butter
Juice 55,89,80,Bakery,99,300055,https://source.unsplash.com/300x300/?Juice
Juice 56,164,157,Fruits,39,300056,https://source.unsplash.com/300x300/?Juice
Apple 57,116,103,Fruits,112,300057,https://source.unsplash.com/300x300/?Apple
Bread 58,147,141,Grocery,19,300058,https://source.unsplash.com/300x300/?Bread
Soap 59,213,205,Personal Care,31,300059,https://source.unsplash.com/300x300/?Soap
Sugar 60,207,206,Personal Care,37,300060,https://source.unsplash.com/300x300/?Sugar
Banana 61,40,33,Dairy,142,300061,https://source.unsplash.com/300x300/?Banana
Soap 62,215,202,Fruits,63,300062,https://source.unsplash.com/300x300/?Soap
Chocolate 63,85,72,Fruits,93,300063,https://source.unsplash.com/300x300/?Chocolate
Milk 64,116,108,Bakery,152,300064,https://source.unsplash.com/300x300/?Milk
Chips 65,173,156,Grocery,145,300065,https://source.unsplash.com/300x300/?Chips
Eggs 66,217,209,Fruits,73,300066,https://source.unsplash.com/300x300/?Eggs
Juice 67,23,11,Grocery,15,300067,https://source.unsplash.com/300x300/?Juice
Milk 68,218,201,Fruits,12,300068,https://source.unsplash.com/300x300/?Milk
Chips 69,186,177,Fruits,93,300069,https://source.unsplash.com/300x300/?Chips
Chips 70,178,175,Fruits,164,300070,https://source.unsplash.com/300x300/?Chips
Chocolate 71,88,78,Dairy,148,300071,https://source.unsplash.com/300x300/?Chocolate
Apple 72,122,115,Beverages,6,300072,https://source.unsplash.com/300x300/?Apple
Apple 73,30,15,Personal Care,67,300073,https://source.unsplash.com/300x300/?Apple
Chips 74,199,181,Beverages,197,300074,https://source.unsplash.com/300x300/?Chips
Apple 75,61,49,Snacks,72,300075,https://source.unsplash.com/300x300/?Apple
Soap 76,177,162,Grocery,48,300076,https://source.unsplash.com/300x300/?Soap
Milk 77,110,109,Grocery,186,300077,https://source.unsplash.com/300x300/?Milk
Banana 78,167,163,Dairy,37,300078,https://source.unsplash.com/300x300/?Banana
Apple 79,132,120,Bakery,101,300079,https://source.unsplash.com/300x300/?Apple
Toothpaste 80,120,107,Personal Care,26,300080,https://source.unsplash.com/300x300/?Toothpaste
Bread 81,84,80,Snacks,87,300081,https://source.unsplash.com/300x300/?Bread
Chocolate 82,22,18,Fruits,156,300082,https://source.unsplash.com/300x300/?Chocolate
Eggs 83,170,160,Bakery,56,300083,https://source.unsplash.com/300x300/?Eggs
Toothpaste 84,29,15,Bakery,197,300084,https://source.unsplash.com/300x300/?Toothpaste
Soap 85,73,60,Grocery,199,300085,https://source.unsplash.com/300x300/?Soap
Milk 86,40,29,Bakery,141,300086,https://source.unsplash.com/300x300/?Milk
Rice 87,21,7,Personal Care,187,300087,https://source.unsplash.com/300x300/?Rice
Chips 88,111,93,Personal Care,3,300088,https://source.unsplash.com/300x300/?Chips
Toothpaste 89,36,20,Personal Care,22,300089,https://source.unsplash.com/300x300/?Toothpaste
Banana 90,127,116,Bakery,93,300090,https://source.unsplash.com/300x300/?Banana
Bread 91,122,120,Dairy,0,300091,https://source.unsplash.com/300x300/?Bread
Cheese 92,130,116,Dairy,84,300092,https://source.unsplash.com/300x300/?Cheese
Toothpaste 93,62,48,Beverages,62,300093,https://source.unsplash.com/300x300/?Toothpaste
Biscuits 94,196,185,Bakery,80,300094,https://source.unsplash.com/300x300/?Biscuits
Chocolate 95,39,22,Bakery,15,300095,https://source.unsplash.com/300x300/?Chocolate
Oil 96,43,35,Dairy,2,300096,https://source.unsplash.com/300x300/?Oil
Milk 97,101,82,Fruits,6,300097,https://source.unsplash.com/300x300/?Milk
Sugar 98,61,55,Beverages,123,300098,https://source.unsplash.com/300x300/?Sugar
Eggs 99,170,153,Snacks,148,300099,https://source.unsplash.com/300x300/?Eggs
Soap 100,205,197,Dairy,144,300100,https://source.unsplash.com/300x300/?Soap
Chocolate 101,30,19,Bakery,152,300101,https://source.unsplash.com/300x300/?Chocolate
Butter 102,31,24,Dairy,2,300102,https://source.unsplash.com/300x300/?Butter
Butter 103,118,107,Beverages,142,300103,https://source.unsplash.com/300x300/?Butter
Bread 104,102,92,Personal Care,2,300104,https://source.unsplash.com/300x300/?Bread
Sugar 105,62,51,Fruits,117,300105,https://source.unsplash.com/300x300/?Sugar
Soap 106,126,111,Personal Care,68,300106,https://source.unsplash.com/300x300/?Soap
Chips 107,114,101,Personal Care,161,300107,https://source.unsplash.com/300x300/?Chips
Oil 108,200,197,Grocery,1,300108,https://source.unsplash.com/300x300/?Oil
Apple 109,105,93,Dairy,93,300109,https://source.unsplash.com/300x300/?Apple
Toothpaste 110,87,68,Personal Care,84,300110,https://source.unsplash.com/300x300/?Toothpaste
Milk 111,55,36,Dairy,6,300111,https://source.unsplash.com/300x300/?Milk
Sugar 112,142,133,Dairy,165,300112,https://source.unsplash.com/300x300/?Sugar
Oil 113,146,137,Dairy,33,300113,https://source.unsplash.com/300x300/?Oil
Eggs 114,212,198,Personal Care,109,300114,https://source.unsplash.com/300x300/?Eggs
Salt 115,127,117,Fruits,114,300115,https://source.unsplash.com/300x300/?Salt
Chips 116,51,49,Bakery,128,300116,https://source.unsplash.com/300x300/?Chips
Butter 117,187,175,Beverages,97,300117,https://source.unsplash.com/300x300/?Butter
Sugar 118,27,26,Dairy,5,300118,https://source.unsplash.com/300x300/?Sugar
Salt 119,136,130,Snacks,108,300119,https://source.unsplash.com/300x300/?Salt
Toothpaste 120,78,60,Fruits,76,300120,https://source.unsplash.com/300x300/?Toothpaste
Chocolate 121,72,65,Personal Care,139,300121,https://source.unsplash.com/300x300/?Chocolate
Salt 122,93,92,Snacks,5,300122,https://source.unsplash.com/300x300/?Salt
Butter 123,45,43,Snacks,34,300123,https://source.unsplash.com/300x300/?Butter
Toothpaste 124,181,163,Bakery,13,300124,https://source.unsplash.com/300x300/?Toothpaste
Salt 125,42,36,Bakery,33,300125,https://source.unsplash.com/300x300/?Salt
Soap 126,128,111,Fruits,155,300126,https://source.unsplash.com/300x300/?Soap
Butter 127,88,88,Grocery,73,300127,https://source.unsplash.com/300x300/?Butter
Shampoo 128,197,185,Bakery,122,300128,https://source.unsplash.com/300x300/?Shampoo
Sugar 129,187,179,Bakery,110,300129,https://source.unsplash.com/300x300/?Sugar
Juice 130,176,173,Snacks,64,300130,https://source.unsplash.com/300x300/?Juice
Milk 131,97,89,Beverages,13,300131,https://source.unsplash.com/300x300/?Milk
Eggs 132,140,124,Dairy,113,300132,https://source.unsplash.com/300x300/?Eggs
Biscuits 133,137,123,Bakery,97,300133,https://source.unsplash.com/300x300/?Biscuits
Apple 134,66,62,Snacks,33,300134,https://source.unsplash.com/300x300/?Apple
Banana 135,158,157,Fruits,53,300135,https://source.unsplash.com/300x300/?Banana
Apple 136,144,142,Personal Care,193,300136,https://source.unsplash.com/300x300/?Apple
Chocolate 137,134,134,Bakery,84,300137,https://source.unsplash.com/300x300/?Chocolate
Biscuits 138,38,34,Personal Care,51,300138,https://source.unsplash.com/300x300/?Biscuits
Milk 139,130,122,Personal Care,110,300139,https://source.unsplash.com/300x300/?Milk
Shampoo 140,105,94,Personal Care,185,300140,https://source.unsplash.com/300x300/?Shampoo
Banana 141,51,41,Fruits,73,300141,https://source.unsplash.com/300x300/?Banana
Cheese 142,219,211,Personal Care,2,300142,https://source.unsplash.com/300x300/?Cheese
Chips 143,123,117,Personal Care,181,300143,https://source.unsplash.com/300x300/?Chips
Bread 144,193,174,Beverages,88,300144,https://source.unsplash.com/300x300/?Bread
Biscuits 145,184,172,Dairy,32,300145,https://source.unsplash.com/300x300/?Biscuits
Shampoo 146,195,181,Fruits,120,300146,https://source.unsplash.com/300x300/?Shampoo
Chocolate 147,159,152,Beverages,56,300147,https://source.unsplash.com/300x300/?Chocolate
Chips 148,24,12,Dairy,139,300148,https://source.unsplash.com/300x300/?Chips
Toothpaste 149,147,140,Personal Care,146,300149,https://source.unsplash.com/300x300/?Toothpaste
Cheese 150,96,78,Snacks,45,300150,https://source.unsplash.com/300x300/?Cheese
Biscuits 151,47,44,Grocery,199,300151,https://source.unsplash.com/300x300/?Biscuits
Milk 152,52,52,Grocery,177,300152,https://source.unsplash.com/300x300/?Milk
Cheese 153,155,154,Fruits,24,300153,https://source.unsplash.com/300x300/?Cheese
Shampoo 154,133,116,Snacks,67,300154,https://source.unsplash.com/300x300/?Shampoo
Toothpaste 155,90,80,Bakery,182,300155,https://source.unsplash.com/300x300/?Toothpaste
Eggs 156,94,83,Grocery,186,300156,https://source.unsplash.com/300x300/?Eggs
Butter 157,32,31,Personal Care,149,300157,https://source.unsplash.com/300x300/?Butter
Biscuits 158,31,28,Fruits,49,300158,https://source.unsplash.com/300x300/?Biscuits
Shampoo 159,206,203,Snacks,39,300159,https://source.unsplash.com/300x300/?Shampoo
Sugar 160,43,30,Personal Care,53,300160,https://source.unsplash.com/300x300/?Sugar
Biscuits 161,161,157,Dairy,195,300161,https://source.unsplash.com/300x300/?Biscuits
Shampoo 162,55,53,Grocery,63,300162,https://source.unsplash.com/300x300/?Shampoo
Sugar 163,194,188,Snacks,58,300163,https://source.unsplash.com/300x300/?Sugar
Apple 164,136,129,Snacks,174,300164,https://source.unsplash.com/300x300/?Apple
Butter 165,90,81,Grocery,189,300165,https://source.unsplash.com/300x300/?Butter
Banana 166,202,186,Snacks,98,300166,https://source.unsplash.com/300x300/?Banana
Chocolate 167,68,63,Beverages,178,300167,https://source.unsplash.com/300x300/?Chocolate
Rice 168,41,26,Personal Care,89,300168,https://source.unsplash.com/300x300/?Rice
Oil 169,164,158,Bakery,166,300169,https://source.unsplash.com/300x300/?Oil
Chips 170,156,146,Beverages,26,300170,https://source.unsplash.com/300x300/?Chips
Milk 171,40,21,Bakery,88,300171,https://source.unsplash.com/300x300/?Milk
Juice 172,98,97,Personal Care,37,300172,https://source.unsplash.com/300x300/?Juice
Toothpaste 173,197,191,Dairy,174,300173,https://source.unsplash.com/300x300/?Toothpaste
Butter 174,24,12,Personal Care,100,300174,https://source.unsplash.com/300x300/?Butter
Oil 175,75,57,Dairy,151,300175,https://source.unsplash.com/300x300/?Oil
Oil 176,137,128,Beverages,67,300176,https://source.unsplash.com/300x300/?Oil
Biscuits 177,72,69,Snacks,79,300177,https://source.unsplash.com/300x300/?Biscuits
Chocolate 178,149,131,Snacks,13,300178,https://source.unsplash.com/300x300/?Chocolate
Banana 179,145,143,Fruits,88,300179,https://source.unsplash.com/300x300/?Banana
Salt 180,27,17,Bakery,118,300180,https://source.unsplash.com/300x300/?Salt
Cheese 181,152,140,Fruits,148,300181,https://source.unsplash.com/300x300/?Cheese
Juice 182,175,160,Bakery,184,300182,https://source.unsplash.com/300x300/?Juice
Soap 183,199,199,Beverages,108,300183,https://source.unsplash.com/300x300/?Soap
Chips 184,171,154,Grocery,44,300184,https://source.unsplash.com/300x300/?Chips
Salt 185,137,121,Bakery,86,300185,https://source.unsplash.com/300x300/?Salt
Banana 186,55,54,Dairy,85,300186,https://source.unsplash.com/300x300/?Banana
Juice 187,179,172,Fruits,154,300187,https://source.unsplash.com/300x300/?Juice
Butter 188,142,126,Bakery,13,300188,https://source.unsplash.com/300x300/?Butter
Eggs 189,98,92,Dairy,89,300189,https://source.unsplash.com/300x300/?Eggs
Apple 190,99,83,Personal Care,116,300190,https://source.unsplash.com/300x300/?Apple
Soap 191,188,185,Personal Care,20,300191,https://source.unsplash.com/300x300/?Soap
Shampoo 192,73,62,Snacks,49,300192,https://source.unsplash.com/300x300/?Shampoo
Juice 193,200,182,Personal Care,63,300193,https://source.unsplash.com/300x300/?Juice
Apple 194,79,75,Beverages,45,300194,https://source.unsplash.com/300x300/?Apple
Eggs 195,100,82,Grocery,116,300195,https://source.unsplash.com/300x300/?Eggs
Oil 196,185,175,Grocery,53,300196,https://source.unsplash.com/300x300/?Oil
Banana 197,20,18,Dairy,167,300197,https://source.unsplash.com/300x300/?Banana
Milk 198,28,16,Bakery,67,300198,https://source.unsplash.com/300x300/?Milk
Sugar 199,127,117,Grocery,45,300199,https://source.unsplash.com/300x300/?Sugar
Chips 200,167,152,Grocery,84,300200,https://source.unsplash.com/300x300/?Chips
Bread 201,180,161,Dairy,38,300201,https://source.unsplash.com/300x300/?Bread
Chocolate 202,33,16,Beverages,32,300202,https://source.unsplash.com/300x300/?Chocolate
Rice 203,69,67,Snacks,96,300203,https://source.unsplash.com/300x300/?Rice
Milk 204,25,23,Snacks,190,300204,https://source.unsplash.com/300x300/?Milk
Banana 205,115,112,Beverages,81,300205,https://source.unsplash.com/300x300/?Banana
Juice 206,160,145,Fruits,197,300206,https://source.unsplash.com/300x300/?Juice
Milk 207,203,202,Grocery,126,300207,https://source.unsplash.com/300x300/?Milk
Cheese 208,46,31,Personal Care,127,300208,https://source.unsplash.com/300x300/?Cheese
Shampoo 209,204,190,Snacks,22,300209,https://source.unsplash.com/300x300/?Shampoo
Cheese 210,174,174,Bakery,10,300210,https://source.unsplash.com/300x300/?Cheese
Butter 211,209,197,Snacks,45,300211,https://source.unsplash.com/300x300/?Butter
Cheese 212,65,61,Fruits,102,300212,https://source.unsplash.com/300x300/?Cheese
Eggs 213,213,196,Personal Care,61,300213,https://source.unsplash.com/300x300/?Eggs
Soap 214,177,177,Bakery,0,300214,https://source.unsplash.com/300x300/?Soap
Juice 215,48,39,Fruits,149,300215,https://source.unsplash.com/300x300/?Juice
Salt 216,183,166,Personal Care,177,300216,https://source.unsplash.com/300x300/?Salt
Toothpaste 217,152,133,Beverages,87,300217,https://source.unsplash.com/300x300/?Toothpaste
Salt 218,150,133,Bakery,197,300218,https://source.unsplash.com/300x300/?Salt
Soap 219,21,15,Grocery,23,300219,https://source.unsplash.com/300x300/?Soap
Apple 220,30,27,Snacks,168,300220,https://source.unsplash.com/300x300/?Apple
Chips 221,213,203,Snacks,189,300221,https://source.unsplash.com/300x300/?Chips
Juice 222,100,93,Fruits,107,300222,https://source.unsplash.com/300x300/?Juice
Oil 223,99,84,Grocery,186,300223,https://source.unsplash.com/300x300/?Oil
Oil 224,80,65,Beverages,49,300224,https://source.unsplash.com/300x300/?Oil
Chocolate 225,106,98,Snacks,106,300225,https://source.unsplash.com/300x300/?Chocolate
Rice 226,50,50,Grocery,112,300226,https://source.unsplash.com/300x300/?Rice
Apple 227,70,56,Snacks,28,300227,https://source.unsplash.com/300x300/?Apple
Banana 228,37,34,Bakery,14,300228,https://source.unsplash.com/300x300/?Banana
Banana 229,120,119,Beverages,54,300229,https://source.unsplash.com/300x300/?Banana
Apple 230,48,34,Grocery,163,300230,https://source.unsplash.com/300x300/?Apple
Butter 231,110,93,Fruits,180,300231,https://source.unsplash.com/300x300/?Butter
Soap 232,63,63,Bakery,91,300232,https://source.unsplash.com/300x300/?Soap
Apple 233,206,201,Personal Care,165,300233,https://source.unsplash.com/300x300/?Apple
Biscuits 234,105,105,Bakery,53,300234,https://source.unsplash.com/300x300/?Biscuits
Cheese 235,155,155,Personal Care,20,300235,https://source.unsplash.com/300x300/?Cheese
Banana 236,188,185,Snacks,69,300236,https://source.unsplash.com/300x300/?Banana
Eggs 237,209,205,Bakery,188,300237,https://source.unsplash.com/300x300/?Eggs
Butter 238,65,60,Snacks,57,300238,https://source.unsplash.com/300x300/?Butter
Chips 239,122,118,Fruits,52,300239,https://source.unsplash.com/300x300/?Chips
Salt 240,98,93,Beverages,152,300240,https://source.unsplash.com/300x300/?Salt
Juice 241,23,6,Dairy,95,300241,https://source.unsplash.com/300x300/?Juice
Salt 242,134,116,Bakery,50,300242,https://source.unsplash.com/300x300/?Salt
Milk 243,21,14,Snacks,142,300243,https://source.unsplash.com/300x300/?Milk
Milk 244,139,138,Grocery,90,300244,https://source.unsplash.com/300x300/?Milk
Chocolate 245,115,103,Fruits,164,300245,https://source.unsplash.com/300x300/?Chocolate
Rice 246,121,105,Grocery,6,300246,https://source.unsplash.com/300x300/?Rice
Soap 247,82,79,Snacks,67,300247,https://source.unsplash.com/300x300/?Soap
Cheese 248,206,203,Personal Care,122,300248,https://source.unsplash.com/300x300/?Cheese
Soap 249,80,74,Grocery,167,300249,https://source.unsplash.com/300x300/?Soap
Butter 250,198,186,Grocery,161,300250,https://source.unsplash.com/300x300/?Butter
Bread 251,145,130,Bakery,91,300251,https://source.unsplash.com/300x300/?Bread
Toothpaste 252,79,76,Beverages,63,300252,https://source.unsplash.com/300x300/?Toothpaste
Apple 253,61,53,Beverages,110,300253,https://source.unsplash.com/300x300/?Apple
Cheese 254,151,148,Fruits,65,300254,https://source.unsplash.com/300x300/?Cheese
Soap 255,112,111,Snacks,138,300255,https://source.unsplash.com/300x300/?Soap
Eggs 256,92,88,Bakery,5,300256,https://source.unsplash.com/300x300/?Eggs
Sugar 257,106,90,Snacks,171,300257,https://source.unsplash.com/300x300/?Sugar
Butter 258,60,46,Dairy,78,300258,https://source.unsplash.com/300x300/?Butter
Biscuits 259,51,43,Beverages,143,300259,https://source.unsplash.com/300x300/?Biscuits
Chips 260,89,75,Fruits,113,300260,https://source.unsplash.com/300x300/?Chips
Toothpaste 261,21,7,Fruits,108,300261,https://source.unsplash.com/300x300/?Toothpaste
Juice 262,124,123,Bakery,152,300262,https://source.unsplash.com/300x300/?Juice
Milk 263,140,124,Fruits,100,300263,https://source.unsplash.com/300x300/?Milk
Juice 264,183,165,Personal Care,51,300264,https://source.unsplash.com/300x300/?Juice
Banana 265,59,56,Dairy,190,300265,https://source.unsplash.com/300x300/?Banana
Butter 266,217,209,Grocery,130,300266,https://source.unsplash.com/300x300/?Butter
Sugar 267,21,12,Snacks,182,300267,https://source.unsplash.com/300x300/?Sugar
Banana 268,136,131,Personal Care,46,300268,https://source.unsplash.com/300x300/?Banana
Bread 269,57,39,Dairy,45,300269,https://source.unsplash.com/300x300/?Bread
Apple 270,66,50,Dairy,83,300270,https://source.unsplash.com/300x300/?Apple
Eggs 271,70,59,Snacks,177,300271,https://source.unsplash.com/300x300/?Eggs
Milk 272,133,130,Grocery,92,300272,https://source.unsplash.com/300x300/?Milk
Soap 273,130,125,Dairy,85,300273,https://source.unsplash.com/300x300/?Soap
Toothpaste 274,30,23,Grocery,185,300274,https://source.unsplash.com/300x300/?Toothpaste
Apple 275,20,11,Bakery,92,300275,https://source.unsplash.com/300x300/?Apple
Butter 276,125,107,Beverages,29,300276,https://source.unsplash.com/300x300/?Butter
Soap 277,127,116,Snacks,121,300277,https://source.unsplash.com/300x300/?Soap
Shampoo 278,61,56,Personal Care,121,300278,https://source.unsplash.com/300x300/?Shampoo
Soap 279,26,23,Dairy,98,300279,https://source.unsplash.com/300x300/?Soap
Toothpaste 280,90,73,Beverages,41,300280,https://source.unsplash.com/300x300/?Toothpaste
Bread 281,52,49,Personal Care,76,300281,https://source.unsplash.com/300x300/?Bread
Banana 282,159,148,Dairy,163,300282,https://source.unsplash.com/300x300/?Banana
Rice 283,188,170,Fruits,39,300283,https://source.unsplash.com/300x300/?Rice
Rice 284,173,173,Fruits,22,300284,https://source.unsplash.com/300x300/?Rice
Soap 285,182,167,Fruits,45,300285,https://source.unsplash.com/300x300/?Soap
Banana 286,98,86,Personal Care,152,300286,https://source.unsplash.com/300x300/?Banana
Banana 287,180,161,Snacks,10,300287,https://source.unsplash.com/300x300/?Banana
Juice 288,22,9,Dairy,76,300288,https://source.unsplash.com/300x300/?Juice
Cheese 289,26,19,Snacks,13,300289,https://source.unsplash.com/300x300/?Cheese
Apple 290,138,129,Beverages,130,300290,https://source.unsplash.com/300x300/?Apple
Apple 291,181,166,Snacks,97,300291,https://source.unsplash.com/300x300/?Apple
Rice 292,37,30,Bakery,63,300292,https://source.unsplash.com/300x300/?Rice
Chips 293,55,39,Grocery,163,300293,https://source.unsplash.com/300x300/?Chips
Butter 294,142,126,Personal Care,146,300294,https://source.unsplash.com/300x300/?Butter
Juice 295,199,182,Personal Care,65,300295,https://source.unsplash.com/300x300/?Juice
Salt 296,33,27,Grocery,131,300296,https://source.unsplash.com/300x300/?Salt
Banana 297,166,156,Personal Care,59,300297,https://source.unsplash.com/300x300/?Banana
Toothpaste 298,41,38,Fruits,64,300298,https://source.unsplash.com/300x300/?Toothpaste
Chips 299,171,155,Personal Care,173,300299,https://source.unsplash.com/300x300/?Chips
Apple 300,53,35,Fruits,0,300300,https://source.unsplash.com/300x300/?Apple
Chips 301,22,6,Personal Care,103,300301,https://source.unsplash.com/300x300/?Chips
Soap 302,149,142,Personal Care,110,300302,https://source.unsplash.com/300x300/?Soap
Apple 303,172,171,Fruits,75,300303,https://source.unsplash.com/300x300/?Apple
Oil 304,168,163,Grocery,191,300304,https://source.unsplash.com/300x300/?Oil
Butter 305,172,154,Grocery,60,300305,https://source.unsplash.com/300x300/?Butter
Chips 306,162,148,Bakery,53,300306,https://source.unsplash.com/300x300/?Chips
Butter 307,206,187,Personal Care,32,300307,https://source.unsplash.com/300x300/?Butter
Salt 308,209,204,Beverages,10,300308,https://source.unsplash.com/300x300/?Salt
Salt 309,159,147,Snacks,63,300309,https://source.unsplash.com/300x300/?Salt
Eggs 310,217,204,Grocery,105,300310,https://source.unsplash.com/300x300/?Eggs
Milk 311,59,41,Bakery,137,300311,https://source.unsplash.com/300x300/?Milk
Milk 312,52,35,Dairy,81,300312,https://source.unsplash.com/300x300/?Milk
Biscuits 313,83,82,Grocery,174,300313,https://source.unsplash.com/300x300/?Biscuits
Toothpaste 314,219,211,Grocery,43,300314,https://source.unsplash.com/300x300/?Toothpaste
Cheese 315,217,212,Fruits,189,300315,https://source.unsplash.com/300x300/?Cheese
Butter 316,45,27,Beverages,155,300316,https://source.unsplash.com/300x300/?Butter
Salt 317,178,171,Snacks,14,300317,https://source.unsplash.com/300x300/?Salt
Apple 318,205,205,Beverages,167,300318,https://source.unsplash.com/300x300/?Apple
Shampoo 319,41,23,Snacks,197,300319,https://source.unsplash.com/300x300/?Shampoo
Bread 320,113,96,Snacks,121,300320,https://source.unsplash.com/300x300/?Bread
Chips 321,209,194,Snacks,74,300321,https://source.unsplash.com/300x300/?Chips
Toothpaste 322,175,165,Dairy,24,300322,https://source.unsplash.com/300x300/?Toothpaste
Toothpaste 323,164,147,Fruits,167,300323,https://source.unsplash.com/300x300/?Toothpaste
Chips 324,122,115,Bakery,158,300324,https://source.unsplash.com/300x300/?Chips
Shampoo 325,116,101,Grocery,138,300325,https://source.unsplash.com/300x300/?Shampoo
Toothpaste 326,41,37,Personal Care,63,300326,https://source.unsplash.com/300x300/?Toothpaste
Rice 327,121,104,Snacks,168,300327,https://source.unsplash.com/300x300/?Rice
Chips 328,92,75,Personal Care,141,300328,https://source.unsplash.com/300x300/?Chips
Banana 329,162,154,Bakery,145,300329,https://source.unsplash.com/300x300/?Banana
Juice 330,180,167,Fruits,23,300330,https://source.unsplash.com/300x300/?Juice
Oil 331,139,137,Personal Care,195,300331,https://source.unsplash.com/300x300/?Oil
Shampoo 332,164,155,Dairy,143,300332,https://source.unsplash.com/300x300/?Shampoo
Soap 333,200,190,Fruits,132,300333,https://source.unsplash.com/300x300/?Soap
Eggs 334,26,7,Grocery,18,300334,https://source.unsplash.com/300x300/?Eggs
Bread 335,120,110,Grocery,167,300335,https://source.unsplash.com/300x300/?Bread
Juice 336,118,100,Bakery,101,300336,https://source.unsplash.com/300x300/?Juice
